name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[35029.63354192853, 38024.93187039608, 2262.196509356065, 6830.131283083924, 2314.008261081415, 23993.176829670418, 34952.98147682049, 34577.340316491776, 34410.496348018176, 29422.757334644615, 24615.704577325316, 31318.406953899696, 25007.645267816224, 38252.691829430965, 5634.275489333351, 33138.76702908723, 8685.126946617796, 40111.228168595124, 36597.809667950845, 36405.42006761187, 38899.72166790669, 22812.471301690428, 43425.2350107575, 38623.945286057045, 31057.622108690644, 32966.23577462972, 27524.6816314765, 18601.1769603559, 42855.68320383353, 12050.28657118188, 17745.319676134888, 9485.93766778597, 36798.9237480207, 33212.029622318674]"
elevation,"[79.63848876953125, 84.6922378540039, 85.81512451171875, 88.36707305908203, 80.63642120361328, 88.72515869140625, 101.2335968017578, 85.21012115478516, 84.89892578125, 128.5739288330078, 81.5024642944336, 95.34043884277344, 77.88645935058594, 92.70665740966797, 87.33172607421875, 87.63307189941406, 96.79705047607422, 63.89156341552734, 109.4736404418945, 66.25965118408203, 80.20835876464844, 74.54058837890625, 104.3221435546875, 88.803466796875, 84.93315887451172, 71.22901916503906, 90.34154510498047, 89.37995147705078, 95.15846252441406, 85.5852279663086, 89.8248519897461, 88.0689697265625, 84.3501968383789, 115.9370422363281, 103.7349700927734, 79.66846466064453, 120.980598449707, 112.1284790039062, 111.8048706054688, 75.00651550292969, 107, 71.5973892211914, 117.3570098876953, 108.8954772949219, 81.94464874267578, 75.29902648925781, 83.42865753173828, 94.07455444335938, 87.80364990234375]"
color,blue
