name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[158369.05845730408, 156203.2148496199, 142349.10283764696, 160621.3576662909, 166248.630692294, 143852.63549684416]"
elevation,"[102.600341796875, 94.41462707519531, 85.96690368652344, 93.01099395751953, 96.50541687011719, 91.28326416015625, 89.85922241210938, 88.49986267089844, 91.290771484375, 97.17230987548828, 90.31078338623047, 97.52143096923828, 100.7717971801758, 81.75701141357422, 93.93919372558594, 94.25721740722656]"
color,green
