name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[158171.5780318639, 161996.41589655727, 167608.61081537505, 140577.4008148187, 138802.76609714053, 160487.22834424453]"
elevation,"[76.70394897460938, 93.4905776977539, 104.0454330444336, 107.9693984985352, 90.93179321289062, 101.4261703491211, 112.4758758544922, 82.61100006103516, 89.96885681152344, 91.97647094726562, 90.31078338623047, 88.29743194580078, 89.96885681152344, 87.75762939453125, 94.25721740722656, 82.89774322509766]"
color,green
