name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[171439.1041010191, 199186.50652240045, 183158.83717707574, 30848.370545874255, 173093.0644403939, 169918.11721323646]"
elevation,"[88.30274963378906, 107.7360610961914, 79.3683853149414, 65.94363403320312, 119.601203918457, 104.4978561401367, 82.48788452148438, 98.78909301757812, 84.30439758300781, 64.27163696289062, 88.29743194580078, 92.00961303710938, 92.00981903076172, 64.94094848632812, 108.3063049316406, 89.96885681152344]"
color,green
