name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[163816.81106318283, 161417.0141907134, 158171.5780318639, 140607.65537174174, 143303.72282222283, 160327.2185202753]"
elevation,"[65.39998626708984, 84.18302154541016, 114.4020690917969, 63.15650939941406, 80.06382751464844, 66.99360656738281, 73.2950210571289, 90.71480560302734, 77, 87.64997863769531, 89.96885681152344, 88.29743194580078, 90.31078338623047, 87.75762939453125, 94.25721740722656, 82.89774322509766]"
color,green
