name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[26989.631716603028, 18636.180654956737, 35700.19056807602, 7961.320513766242, 35875.61237637406, 29888.066964160094, 16752.955163707727, 18895.801659735855, 14853.395212341335, 32519.195699521657, 28462.044109321534, 9270.83217394691, 29964.8037756856, 19881.030191462618, 8238.829195521097, 3971.469254838047, 13284.102395746779, 23193.90113495894, 36329.566145133664, 38714.915181973156, 40173.61139165952, 39577.98015146026, 32216.070605760182, 4665.295030868752, 18490.410814780003, 33805.46311219998, 15074.292402935098, 10494.921296553915, 32856.83113397771, 35405.58852539628, 40523.94922072487, 14037.289586073177, 32396.406259548763, 29820.418633677124, 45747.197594260295, 22552.40821895176, 30422.021933341206]"
elevation,"[82.57627868652344, 95.15846252441406, 72.87556457519531, 69.97055053710938, 107.0474014282227, 88.00335693359375, 72.61418914794922, 64.61329650878906, 104.7316818237305, 86.61162567138672, 72.5675048828125, 89.08084106445312, 118.8857040405273, 88.0741958618164, 66.87750244140625, 100.4628295898438, 85.44506072998047, 82.6011962890625, 104.7316818237305, 129.0691833496094, 95.06111907958984, 88.55738067626953, 105.4298095703125, 81.37469482421875, 108.1672439575195, 88.21559143066406, 108.1484298706055, 114.7867431640625, 106.2728805541992, 62.81902694702148, 67.74760437011719, 77.35275268554688, 98.52017974853516, 109.6424026489258, 83.16450500488281, 63.77370452880859, 92.50637817382812, 79.8596420288086, 68.08472442626953, 90.31204986572266, 94.03270721435547, 89.2035140991211, 84.08094787597656, 82.75825500488281, 106.6128234863281, 89.50757598876953, 92.8774185180664, 92.24320220947266, 102.2091522216797, 88.97850036621094, 77.4688720703125, 77.38270568847656, 94.0855484008789, 85.5194091796875, 97.35128021240234, 102.8711929321289, 88.06868743896484, 86.331787109375, 108.2659912109375, 82.63525390625]"
color,red
