name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[149814.99908275655, 145318.7494249551, 146730.57101870741, 167615.55452688408, 160413.4513793981, 157750.6745672988]"
elevation,"[110.9471282958984, 67.8725357055664, 85.48197937011719, 74.54058837890625, 108.2681121826172, 71.09640502929688, 93.31428527832031, 76.99281311035156, 95.88567352294922, 65.02208709716797, 93.05990600585938, 94.39983367919922, 94.25721740722656, 81.75701141357422, 82.89774322509766, 90.31078338623047]"
color,green
