name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[159401.3892822221, 152128.19435736898, 144855.2336857395, 172566.06375092804, 145218.7342883545, 153474.38463538684]"
elevation,"[96.79705047607422, 81.47795104980469, 108.0918045043945, 66.66173553466797, 103.9628524780273, 73.67526245117188, 83.4950942993164, 74.18276977539062, 84.49390411376953, 73.65798950195312, 108.2659912109375, 94.19943237304688, 93.76292419433594, 81.75701141357422, 94.25721740722656, 90.31078338623047]"
color,green
