name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[28722.584224824946, 31947.588901222796, 17038.422551362077, 9679.338744484634, 23921.28949522898, 28855.12220400838, 19016.001354083593, 33172.69404407922, 29111.74705758142, 32041.362902354642, 32664.30125639338, 18684.309300501205, 20309.91726198171, 40479.22671151721, 12602.75856116742, 34864.286015586484, 30152.766681770663, 25575.58552512012, 14592.339632264348, 22781.611027032734, 30928.63698463029, 30493.662971878883, 2484.8286401608348, 32681.05638021531, 38430.31624418277, 33995.93101471113, 55640.17030368002, 33646.191321435814, 35957.229088358865, 25135.92981592316, 26263.201536016662, 13884.750249212435, 30356.277571072336, 31532.56442595552]"
elevation,"[94.65296936035156, 78.58343505859375, 66.43604278564453, 79.73526763916016, 87.8846435546875, 112.5809020996094, 103.76513671875, 97.52143096923828, 66.01566314697266, 87.23929595947266, 102.2442779541016, 103.2384567260742, 88.6154556274414, 72.14061737060547, 89.96885681152344, 90.22052764892578, 71.39663696289062, 109.8791122436523, 91.24359893798828, 67.89682006835938, 76.51537322998047, 65.16841888427734, 110.1579360961914, 83.06501007080078, 98.52017974853516, 93.31404876708984, 73.62488555908203, 105.060302734375, 87.07022094726562, 87.31314086914062, 129.127197265625, 110.3034286499023, 127.0185012817383, 78.3711929321289, 103.8149032592773, 70.28646850585938, 100.0482711791992, 65.71548461914062, 106.3184204101562, 96.28038787841797, 104.2414093017578, 110.0476760864258, 76.99281311035156, 74.99665832519531, 62.27145385742188, 77.07868957519531, 64.94094848632812, 74.94701385498047, 117.1934051513672]"
color,blue
