name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[41293.61298723866, 57359.77579238743, 31883.777755719784, 43476.66752818184, 9468.292984163458, 44350.591629658185, 40763.45097105924, 15023.631701014356, 38052.52214696474, 22609.76778677433, 7714.749505630975, 22234.40462953926, 31561.239407312856, 39222.44301701339, 2319.0455698172686, 29814.65499711483, 41420.92487433568, 37504.704058721254, 27267.480930496982, 2955.3285804003954, 5736.942404426167, 2356.9544301827323, 32958.2255018479, 53974.828923821115, 20034.244712136264, 20985.46996071833, 26374.718262816954, 26839.06590110121, 13510.18190532197, 36579.46695981118, 6566.0524193813935, 39344.49005647069, 25922.47910995313, 30163.812598466044]"
elevation,"[77.65879821777344, 84.19660186767578, 64.46524810791016, 84.97710418701172, 101.3498840332031, 66.35924530029297, 77.61299896240234, 66.79484558105469, 106.120361328125, 78.80217742919922, 76.51537322998047, 80.91004943847656, 81.94464874267578, 101.4325485229492, 60.97800064086914, 74.8348617553711, 106.4785308837891, 85.35872650146484, 72.09932708740234, 86.01375579833984, 104.6832656860352, 81.51315307617188, 78.40739440917969, 98.97831726074219, 91.05177307128906, 97.00434875488281, 75.14301300048828, 97.19723510742188, 84.93315887451172, 66.31600952148438, 95.15796661376953, 85.2865219116211, 76.2518081665039, 128.3880004882812, 96.37840270996094, 61.22900009155273, 70.01312255859375, 75.72025299072266, 110.0476760864258, 82.06329345703125, 59.77299880981445, 90.185302734375, 84.6155014038086, 97.69739532470703, 95.15846252441406, 92.9671859741211, 91.2485580444336, 116.5338745117188, 103.6292953491211]"
color,blue
