name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[147484.60587975572, 146541.32914474484, 144581.27799910348, 159796.9625224637, 166312.9521559993, 162926.8722979329]"
elevation,"[110.7159805297852, 93.31428527832031, 66.8279037475586, 66.93630981445312, 110.3034286499023, 68, 115.7779998779297, 103.1244430541992, 81.3245620727539, 97.17230987548828, 93.05990600585938, 94.25721740722656, 100.7717971801758, 90.31078338623047, 93.93919372558594, 81.75701141357422]"
color,green
