name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[169750.29161579337, 152316.1584812703, 144855.2336857395, 148243.1808743136, 153474.38463538684, 159004.75070749642]"
elevation,"[104.7842864990234, 109.8766403198242, 66.3487548828125, 117.9739608764648, 85.48197937011719, 88.0741958618164, 83.06501007080078, 87.01199340820312, 82.53704071044922, 65.17454528808594, 81.75701141357422, 94.19943237304688, 93.76292419433594, 94.25721740722656, 90.31078338623047, 108.2659912109375]"
color,green
