name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[23255.132551336894, 29405.868573386804, 40298.98654326836, 6736.105100430954, 27918.32295872543, 15609.162332722357, 20284.551186546894, 49844.94393800155, 37619.723147253244, 33127.130941368756, 19850.044961011394, 35118.13861833043, 23120.31362609235, 7957.83347207411, 3848.408406796668, 27858.216693445058, 25811.295454226572, 27687.791255178312, 11450.571616836462, 15886.535019300693, 23204.771476852424, 18236.18008143255, 6918.65410246104, 12084.56391476411, 38366.47155717699, 27279.299586819852, 30646.299179917514, 20206.252937392055, 35762.468650984105, 29676.127372327337, 26706.894424476413, 32412.89221770297, 36049.47067670881, 24743.2992717982, 21104.080225810467, 35694.02599208223, 25863.171934959635]"
elevation,"[85.6299057006836, 65.7937240600586, 71.02921295166016, 65.86542510986328, 77.97451782226562, 123.4302520751953, 80.59698486328125, 76.99281311035156, 89.87335968017578, 84.03028106689453, 90.77933502197266, 61.61705017089844, 81.1453857421875, 87.56008911132812, 76.23211669921875, 103.6523056030273, 65.76563262939453, 61.37599945068359, 101.2802963256836, 80.22650146484375, 91.05177307128906, 71.22937774658203, 84.71629333496094, 101.2335968017578, 107.1853561401367, 101.962760925293, 75.79952239990234, 96.47638702392578, 89.9063720703125, 78.59162139892578, 102.2091522216797, 81.5024642944336, 117.1934051513672, 65.1242904663086, 74.43350219726562, 95.66648864746094, 104.9468307495117, 67.4548568725586, 74.54058837890625, 95.3828125, 83.96570587158203, 100.2648086547852, 79.48906707763672, 98.50931549072266, 103.2947463989258, 66.22561645507812, 87.8846435546875, 111.8470458984375, 84.93040466308594, 97.11434936523438, 97.23838806152344, 86.0000228881836, 98.52017974853516, 96.1438980102539, 82.89774322509766, 75.36957550048828, 77.62855529785156, 73.81196594238281, 84.80625915527344, 98.91039276123047]"
color,red
