name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[169750.29161579337, 144855.2336857395, 153474.38463538684, 152316.1584812703, 159004.75070749642, 148243.1808743136]"
elevation,"[77.18485260009766, 101.4261703491211, 82.56120300292969, 89.98271942138672, 66.12474822998047, 71.56770324707031, 128.5739288330078, 93.82559204101562, 101.3498840332031, 93.55643463134766, 81.75701141357422, 93.76292419433594, 90.31078338623047, 94.19943237304688, 108.2659912109375, 94.25721740722656]"
color,green
