name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[28774.47421926685, 33960.330116799276, 10019.313062112327, 39227.722000287875, 33397.590558265256, 35258.19147048906, 34162.97059059078, 28218.338145307553, 48858.53819427473, 35661.146488272614, 3887.588159180662, 32473.536311112228, 34794.65227725269, 11732.891646403972, 25703.863222527674, 34581.83277647477, 6696.745545830866, 27529.835242150206, 43821.48052189957, 23392.011134487126, 18899.933746691757, 3872.411840819338, 41071.58100777803, 41408.83498129608, 28490.07004753317, 8844.626288392861, 27127.173566014408, 25395.021856107676, 8888.07143228621, 36689.29739791899, 28082.09779406199, 29033.33215499323, 22811.49164541617, 34877.004557704015]"
elevation,"[90.39002990722656, 100.5392990112305, 94.93887329101562, 77.17558288574219, 97.4105453491211, 81.31718444824219, 89.96885681152344, 77.85076904296875, 100.1952438354492, 95.58931732177734, 103.4525527954102, 83.81761169433594, 83.04390716552734, 91.90907287597656, 90.51066589355469, 106.2742156982422, 111.9920654296875, 92.5818862915039, 81.75701141357422, 102.0520782470703, 75.87274932861328, 102.7527542114258, 108.2659912109375, 106.6128234863281, 123.7596206665039, 65.61852264404297, 95.15796661376953, 95.58931732177734, 100.7312850952148, 77.38270568847656, 83.81761169433594, 84.68277740478516, 101.3780899047852, 101.3498840332031, 92.41423034667969, 60.87799835205078, 62.56337356567383, 89.87957000732422, 97.2056884765625, 68.62149810791016, 66.64826202392578, 71.22901916503906, 94.77387237548828, 94.33189392089844, 78.6378173828125, 85.07173919677734, 76.51537322998047, 116.8678817749023, 79.01107788085938]"
color,blue
