name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[35461.745556112044, 29715.041111146544, 37797.588999272375, 32682.17294791873, 40689.621550920936, 34246.21880013567, 21703.513756450833, 22745.972429771205, 38628.578760671735, 33520.52256746036, 34054.53930733679, 30691.059059322826, 9293.123772148418, 35653.5998271989, 17958.84285896785, 28965.552592333257, 28325.454978187612, 28591.49692223786, 10470.248461251573, 2286.045784303353, 36998.69893294117, 29767.738489735, 33807.16842005876, 32995.84440630317, 30364.76452165857, 27665.208670998647, 36965.110406247135, 34473.01595647009, 35470.81747719785, 43289.78448561017, 1518.6642998066955, 3877.442008452573, 16320.304712720077, 10648.497168651204]"
elevation,"[104.0244674682617, 66.36383056640625, 63.56850051879883, 98.3543472290039, 77.62855529785156, 102.0520782470703, 82.72358703613281, 115.6469573974609, 73.67526245117188, 60.27967834472656, 93.6112289428711, 78.53138732910156, 103.2947463989258, 100.7717971801758, 87.71031188964844, 75.61711883544922, 92.82466888427734, 89.87716674804688, 93.68183135986328, 112.5788345336914, 123.7596206665039, 109.0232696533203, 118.0376129150391, 94.16468811035156, 79.24876403808594, 97.11434936523438, 79.30929565429688, 88.36710357666016, 94.89183044433594, 89.80188751220703, 72.32855987548828, 103.9798049926758, 71.5973892211914, 106.0967636108398, 68.30973815917969, 80.81111907958984, 72.20002746582031, 101.3498840332031, 94.0855484008789, 118.8857040405273, 82.04747772216797, 118.0829086303711, 107.2673797607422, 76.60009765625, 114.7867431640625, 66.08594512939453, 85.59351348876953, 95.0185317993164, 64.4141845703125]"
color,blue
