name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[149797.5182384066, 145318.7494249551, 157765.08193049475, 146730.57101870741, 168053.28164804424, 159978.79773939186]"
elevation,"[90.60174560546875, 94.85942840576172, 91.75314331054688, 91.242431640625, 65.89351654052734, 89.68810272216797, 112.5809020996094, 77.18485260009766, 91.75314331054688, 62.47897720336914, 93.05990600585938, 94.39983367919922, 90.31078338623047, 94.25721740722656, 81.75701141357422, 82.89774322509766]"
color,green
