name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[1670.686721169624, 36314.96066622836, 11405.66174626887, 40777.4736693795, 31509.230174200937, 18605.9654611615, 24759.375993731333, 37722.28342192994, 38305.83208995663, 25716.798228788142, 17019.98960452342, 48333.423703121836, 26841.609188074675, 34563.0121769842, 21739.249996761133, 32169.147826942455, 24197.781914876672, 3971.0981029101104, 20207.020223461284, 33088.07709037854, 23522.495589496688, 6382.63863407389, 16718.32054535763, 23961.897543476767, 13484.072304472073, 41249.82266211051, 35763.6098015517, 26033.82409540624, 26673.641072445025, 32693.35263781587, 2234.2596899723767, 27430.558042233435, 39820.586389681484, 27879.728762989267, 28762.505344668734, 26114.008883399143, 0.0]"
elevation,"[84.6922378540039, 66.56267547607422, 89.90113067626953, 97.00434875488281, 66.30252838134766, 104.2955780029297, 104.7842864990234, 99.22130584716797, 127.5232009887695, 111.1710586547852, 80.11135864257812, 129.6204986572266, 116.4461135864258, 112.2295379638672, 85.15705871582031, 68.58082580566406, 92.5818862915039, 109.238410949707, 72.2172622680664, 65.91082763671875, 95.83670806884766, 88.3414306640625, 116.3335494995117, 85.79251861572266, 103.3893280029297, 98.08049774169922, 95.55170440673828, 69.28287506103516, 92.41423034667969, 89.96885681152344, 83.4950942993164, 75.00651550292969, 123.606086730957, 118.0376129150391, 101.948616027832, 87.5692367553711, 75.14202880859375, 61.69599914550781, 92.57317352294922, 104.3544540405273, 69.76908874511719, 83.4349136352539, 79.16568756103516, 76.73247528076172, 60.99977111816406, 95.49234771728516, 94.93887329101562, 67.74871826171875, 103.1723175048828, 90.25759887695312, 87.71795654296875, 79.73526763916016, 86.0000228881836, 65.56934356689453, 101.7042770385742, 75.38819885253906, 88.0741958618164, 95.17613220214844, 89.46597290039062, 67.71721649169922]"
color,red
