name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[146875.85480817498, 163705.88999683858, 145193.39518810375, 159932.05494251713, 157784.3548409283, 154152.45022343725]"
elevation,"[83.67630004882812, 65.09371948242188, 108.3063049316406, 93.89424133300781, 71.84623718261719, 101.7042770385742, 76.23211669921875, 58.25749206542969, 99.2565689086914, 90.3667984008789, 94.25721740722656, 84.03461456298828, 94.39983367919922, 82.89774322509766, 90.31078338623047, 93.05990600585938]"
color,green
