name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[156200.6765001694, 165416.66102279603, 155502.60652332017, 146541.32914474484, 161444.11423821285, 142538.61257075667]"
elevation,"[92.00981903076172, 103.2947463989258, 84.80625915527344, 103.2947463989258, 65.39998626708984, 91.75314331054688, 107.6491928100586, 67.53544616699219, 97.07479095458984, 91.07538604736328, 97.52143096923828, 93.93919372558594, 90.31078338623047, 94.25721740722656, 81.75701141357422, 100.7717971801758]"
color,green
