name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[26596.124482607505, 24436.677110932316, 33880.71534994771, 34361.84790104819, 37161.10471824605, 49201.978166317575, 2275.116427000703, 0.0, 36465.69948079912, 26114.64274288104, 27873.56885694882, 13353.052013957451, 30140.616168475768, 33096.09442028339, 31781.042762430225, 36391.96580778739, 30920.66894673476, 6750.930661092536, 27225.26103796281, 31070.058859082314, 33576.665904461035, 35742.14948063171, 16054.117903445784, 26878.98283573178, 47400.144093250696, 39066.10856763516, 18224.444591562573, 0.0, 36410.64756895037, 25620.19551846713, 36183.5898511626, 15338.438277750314, 30193.517782295487, 27857.831710119684]"
elevation,"[81.75701141357422, 76.37033081054688, 91.26464080810547, 68.16402435302734, 66.1696548461914, 86.83146667480469, 95.3828125, 84.66060638427734, 67.10596466064453, 85.15705871582031, 78.80217742919922, 69.9986572265625, 85.95660400390625, 100.5024948120117, 93.81158447265625, 115.9370422363281, 63.77370452880859, 98.97831726074219, 87.5692367553711, 89.26875305175781, 94.39983367919922, 67.173095703125, 67.8677978515625, 94.60116577148438, 89.02945709228516, 75.02348327636719, 87.81309509277344, 98.96946716308594, 90.71480560302734, 107.7352676391602, 101.5923843383789, 84.16759490966797, 68.00563049316406, 124.8601760864258, 94.4058609008789, 83.81761169433594, 104.4639587402344, 60.38272857666016, 90.80284118652344, 115.4630508422852, 92.66064453125, 71.1275863647461, 68.88689422607422, 76.88751983642578, 98.65016174316406, 103.6022872924805, 109.6722259521484, 82.89774322509766, 97.26167297363281]"
color,blue
