name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[154260.74668418523, 160417.79126150618, 143608.29251595648, 157667.47423550423, 163249.86793124667, 148439.82737160134]"
elevation,"[72.09932708740234, 93.84329223632812, 129.127197265625, 107.0729293823242, 119.8491744995117, 108.1132278442383, 85.6959228515625, 75.49977111816406, 86.11946868896484, 83.06501007080078, 90.31078338623047, 82.89774322509766, 94.39983367919922, 89.96885681152344, 81.75701141357422, 89.2109603881836]"
color,green
