name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[145797.81808887178, 167417.9682215655, 155307.4409431153, 152652.6983623348, 148243.1808743136, 158224.89350979903]"
elevation,"[75.76913452148438, 71.45431518554688, 88.36707305908203, 93.6112289428711, 82.72358703613281, 112.5788345336914, 86.95844268798828, 81.3245620727539, 105.1806640625, 96.69680786132812, 93.76292419433594, 84.03461456298828, 90.31078338623047, 94.19943237304688, 94.25721740722656, 108.2659912109375]"
color,green
